dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
splice,RealTabPFN-v2.5,2126,1064,3,0.03990996236779169,0.08582693597519991,0.011862238869071007,0.9736841917037964,0.006609294097870588
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3080126073137791,0.5450681355515994,0.020332640036940575,0.7877966165542603,0.0091414509806782
website_phishing,RealTabPFN-v2.5,902,451,3,0.11601275568604859,0.20810311277568821,0.02246239222586155,0.9268292784690857,0.006791811902076006
MIC,TabICL_GPU,1132,567,8,0.19005431995693875,0.4776097128225972,0.02574434131383896,0.8853615522384644,0.006791864987462759
SDSS17,TabICL_GPU,52035,26018,3,0.03837618462753537,0.07575237985019999,0.0026431020814925432,0.9765162467956543,0.12228670087642968
anneal,TabICL_GPU,598,300,5,0.018867996229805326,0.04521441281868995,0.012971507385373116,0.9866666793823242,0.00751715200021863
maternal_health_risk,TabICL_GPU,676,338,3,0.1844009241250049,0.36365271963719287,0.057296037673950195,0.8875739574432373,0.004699582001194358
splice,TabICL_GPU,2126,1064,3,0.07529877099150177,0.13870820019496657,0.010472125373780727,0.9501879811286926,0.009621554985642433
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32043104193634014,0.5648834160496742,0.018787385895848274,0.7667796611785889,0.020369242876768112
website_phishing,TabICL_GPU,902,451,3,0.1148936568994199,0.20612900592445826,0.026913674548268318,0.9312638640403748,0.005103103118017316
MIC,LimiX_GPU,1132,567,8,0.1855493891168034,0.47357010894730484,0.04462588205933571,0.8871251940727234,0.006153182126581669
anneal,LimiX_GPU,598,300,5,0.006629858887658866,0.02390766489769157,0.0001868605613708496,0.996666669845581,0.014454754069447517
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06834153618909689,0.1739793425664902,0.0014751043636351824,0.9648985862731934,0.020570704014971852
maternal_health_risk,LimiX_GPU,676,338,3,0.1871762430465564,0.3640862331769157,0.04584961384534836,0.8934911489486694,0.007605981081724167
splice,LimiX_GPU,2126,1064,3,0.036550020076268876,0.08066664751477375,0.014028508216142654,0.9802631735801697,0.009454387007281184
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31480197786703107,0.5550055988639986,0.028712710365653038,0.7776271104812622,0.009228089824318886
website_phishing,LimiX_GPU,902,451,3,0.11921514997000256,0.21682301180721636,0.02676973305642605,0.9268292784690857,0.004639832070097327
MIC,TabM_GPU,1132,567,8,0.17993127448637658,0.44661636326367204,0.023906849324703217,0.8906525373458862,0.006112538045272231
SDSS17,TabM_GPU,52035,26018,3,0.04151931140475357,0.08482315708560748,0.002095793606713414,0.9741716980934143,0.13339102687314153
anneal,TabM_GPU,598,300,5,0.008601722371470553,0.03238975472167278,0.004946866072714329,0.996666669845581,0.013103367062285542
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826522941164977,0.17386239701126058,6.473064422607422e-05,0.9648985862731934,0.00703016109764576
maternal_health_risk,TabM_GPU,676,338,3,0.2615526077232089,0.47708305190480393,0.10002081841230392,0.8520709872245789,0.005223842104896903
splice,TabM_GPU,2126,1064,3,0.04583094619470054,0.09531518020462747,0.011861537583172321,0.9708646535873413,0.01108047110028565
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.317521913490814,0.5617242528591232,0.019566163420677185,0.7728813290596008,0.008247144054621458
website_phishing,TabM_GPU,902,451,3,0.12062653013047576,0.22049019072441137,0.03229084610939026,0.9223946928977966,0.007470116950571537
MIC,RealMLP_GPU,1132,567,8,0.1807509904890341,0.45137490295292865,0.03974447399377823,0.8959435820579529,0.008362845983356237
SDSS17,RealMLP_GPU,52035,26018,3,0.04312949693962809,0.08663061199353324,0.0019416904542595148,0.9737105369567871,0.12673802697099745
anneal,RealMLP_GPU,598,300,5,0.012871583949101985,0.028889040901661205,0.007345522753894329,0.9900000095367432,0.0054010150488466024
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06876667292991026,0.1784213780066498,0.001408647745847702,0.9648985862731934,0.010864727897569537
maternal_health_risk,RealMLP_GPU,676,338,3,0.2132751022719179,0.3985893375913587,0.07945022732019424,0.860946774482727,0.012034579878672957
splice,RealMLP_GPU,2126,1064,3,0.039903279025926636,0.08390273434492682,0.012712511233985424,0.9746240377426147,0.010274925967678428
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31636180191239105,0.5616525641283101,0.022226309403777122,0.7844067811965942,0.008158900076523423
website_phishing,RealMLP_GPU,902,451,3,0.11836468665234867,0.2108633221515867,0.027630282565951347,0.9246119856834412,0.00672180880792439
MIC,BetaTabPFN_GPU,1132,567,8,0.17997249920278496,0.45308574690484504,0.021207399666309357,0.8888888955116272,0.006028059870004654
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04900984128946037,0.09840199982769524,0.0024897088296711445,0.9705972671508789,0.22441697609610856
anneal,BetaTabPFN_GPU,598,300,5,0.017342548250410966,0.05043487137786896,0.00678461417555809,0.9900000095367432,0.013965659076347947
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06833725247027435,0.17513354943296852,6.318092346191406e-06,0.9648985862731934,0.019974656868726015
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.2843590489636328,0.5033552491676415,0.07924707978963852,0.8047337532043457,0.005314669804647565
splice,BetaTabPFN_GPU,2126,1064,3,0.04066788993068369,0.08434358812584275,0.020186662673950195,0.9708646535873413,0.009578960947692394
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31881174997343364,0.5688737364269898,0.02679889090359211,0.7715254426002502,0.02155695902183652
website_phishing,BetaTabPFN_GPU,902,451,3,0.1326096655703689,0.2355591237604874,0.027890728786587715,0.9179601073265076,0.005261759972199798
MIC,ModernNCA_GPU,1132,567,8,0.18264613645743394,0.4572380809997582,0.028996814042329788,0.8888888955116272,0.017237529158592224
SDSS17,ModernNCA_GPU,52035,26018,3,0.038214812166728944,0.07573820243876493,0.0026944009587168694,0.9764778017997742,0.09939736896194518
anneal,ModernNCA_GPU,598,300,5,0.009765704312507343,0.0336315809968705,0.007158156484365463,0.996666669845581,0.004528261022642255
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06875971203357088,0.17772225122280258,0.002555969636887312,0.9648985862731934,0.008885836927220225
maternal_health_risk,ModernNCA_GPU,676,338,3,0.2157548372991365,0.3938559273181168,0.04021696001291275,0.8461538553237915,0.00709334691055119
splice,ModernNCA_GPU,2126,1064,3,0.04656793565531814,0.10011930562905041,0.020916322246193886,0.972744345664978,0.01344363298267126
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3225961677649967,0.5709051135607287,0.019913025200366974,0.7755932211875916,0.008269106037914753
website_phishing,ModernNCA_GPU,902,451,3,0.1302119443347149,0.23080710833492257,0.03215409442782402,0.9201774001121521,0.00579042499884963
MIC,Mitra_GPU,1132,567,8,0.18268676389485433,0.46306516511313484,0.03959555923938751,0.8871251940727234,0.008290224010124803
anneal,Mitra_GPU,598,300,5,0.008936410297782995,0.030372619114803115,0.006086583714932203,0.996666669845581,0.006595273036509752
maternal_health_risk,Mitra_GPU,676,338,3,0.1911338076929613,0.3773649233797579,0.0667232871055603,0.8905325531959534,0.01214030897244811
splice,Mitra_GPU,2126,1064,3,0.04068737457665939,0.08621883130406828,0.015499845147132874,0.972744345664978,0.0087759830057621
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31226906198023746,0.5529373421777121,0.021905766800045967,0.7749152779579163,0.008273893967270851
website_phishing,Mitra_GPU,902,451,3,0.11794588618447453,0.21431128946360267,0.027987169101834297,0.9312638640403748,0.01381661812774837
MIC,TabDPT_GPU,1132,567,8,0.18924497850539762,0.48647797569892465,0.02367519959807396,0.8853615522384644,0.008348856121301651
SDSS17,TabDPT_GPU,52035,26018,3,0.04084633411510189,0.08534052490332958,0.005411452613770962,0.9749019742012024,0.119183603907004
anneal,TabDPT_GPU,598,300,5,0.010448888704362896,0.033606877807672755,0.007183333858847618,0.9933333396911621,0.0050245728343725204
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06833231046810859,0.1746752286301091,0.00023710969253443182,0.9648985862731934,0.00865249801427126
maternal_health_risk,TabDPT_GPU,676,338,3,0.17997680921324322,0.3461043586616025,0.042230602353811264,0.8786982297897339,0.0067808839958161116
splice,TabDPT_GPU,2126,1064,3,0.09878899548971153,0.179096625400077,0.01005818136036396,0.9332706928253174,0.006948252907022834
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3232865059126805,0.5694305525406975,0.010850862599909306,0.7654237151145935,0.008348962059244514
website_phishing,TabDPT_GPU,902,451,3,0.1179168952283081,0.21117111087489393,0.025001658126711845,0.9290465712547302,0.012768831104040146
